,token_delta,eth_delta,UNI_delta,logIndex,timestamp,event,token_balance,eth_balance,UNI_supply
2139,-9106.500087721308,12.298583984375,0.0,3.0,2021-05-24 09:59:23,tokenPurchase,4709995.304545601,6354.1965079057,175713.34040423308
2140,11940.920548329159,-16.020526554321208,0.0,12.0,2021-05-24 10:11:16,ethPurchase,4721936.22509393,6338.175981351379,175713.34040423308
2141,6747.110791770962,-9.01651938078178,0.0,199.0,2021-05-24 10:15:42,ethPurchase,4728683.335885701,6329.1594619705975,175713.34040423308
2142,-2056.2301890551116,2.76166673861503,0.0,191.0,2021-05-24 10:32:24,tokenPurchase,4726627.105696646,6331.921128709212,175713.34040423308
2143,-6636.367216473357,8.92955056886056,0.0,38.0,2021-05-24 10:32:43,tokenPurchase,4719990.738480172,6340.850679278073,175713.34040423308
2144,-9985.376268857213,13.483275264,0.0,113.0,2021-05-24 10:48:12,tokenPurchase,4710005.362211315,6354.333954542073,175713.34040423308
2145,149996.9095990471,-195.5470400172092,0.0,5.0,2021-05-24 10:55:46,ethPurchase,4860002.271810362,6158.786914524864,175713.34040423308
2146,-26970.36542322941,34.47205615800562,0.0,15.0,2021-05-24 10:55:46,tokenPurchase,4833031.906387133,6193.258970682869,175713.34040423308
2147,-68342.08985426153,89.1,0.0,176.0,2021-05-24 10:55:46,tokenPurchase,4764689.816532871,6282.35897068287,175713.34040423308
2148,5886.949439188808,-7.729278061094286,0.0,197.0,2021-05-24 10:55:46,ethPurchase,4770576.765972059,6274.629692621776,175713.34040423308
2149,-19278.965290002885,25.536678658555235,0.0,4.0,2021-05-24 10:56:18,tokenPurchase,4751297.800682057,6300.166371280331,175713.34040423308
2150,7420.616720600386,-9.794881840301809,0.0,24.0,2021-05-24 10:56:18,ethPurchase,4758718.417402657,6290.371489440029,175713.34040423308
2151,-2836.4361339123634,3.76290346,0.0,50.0,2021-05-24 10:56:42,tokenPurchase,4755881.981268744,6294.1343929000295,175713.34040423308
2152,-15222.704210661019,20.271875,0.0,3.0,2021-05-24 10:56:48,tokenPurchase,4740659.277058083,6314.40626790003,175713.34040423308
2153,6121.053631977857,-8.118137632612745,0.0,122.0,2021-05-24 11:02:55,ethPurchase,4746780.330690061,6306.288130267417,175713.34040423308
2154,6597.604038342189,-8.72679306305605,0.0,50.0,2021-05-24 11:04:38,ethPurchase,4753377.934728403,6297.561337204361,175713.34040423308
2155,7577.340804988711,-9.992918772118529,0.0,143.0,2021-05-24 11:04:43,ethPurchase,4760955.275533391,6287.568418432243,175713.34040423308
2156,9534.001075344113,-12.528317721723385,0.0,263.0,2021-05-24 11:12:28,ethPurchase,4770489.276608735,6275.040100710519,175713.34040423308
2157,-3.991285216310777,0.005265887178166273,0.0,415.0,2021-05-24 11:29:54,tokenPurchase,4770485.285323519,6275.0453665976975,175713.34040423308
2158,17248.81090095428,-22.539582166572973,0.0,30.0,2021-05-24 11:32:48,ethPurchase,4787734.096224474,6252.505784431124,175713.34040423308
2159,-915.9446522706496,1.2,0.0,36.0,2021-05-24 11:32:48,tokenPurchase,4786818.151572203,6253.705784431124,175713.34040423308
2160,19354.899154558345,-25.108996687830594,0.0,99.0,2021-05-24 11:34:53,ethPurchase,4806173.050726762,6228.596787743293,175713.34040423308
2161,-398.51235793150767,0.5180521262002743,0.0,243.0,2021-05-24 11:34:53,tokenPurchase,4805774.53836883,6229.114839869493,175713.34040423308
2162,16126.314749405117,-20.7702971119058,0.0,13.0,2021-05-24 11:40:19,ethPurchase,4821900.853118235,6208.344542757587,175713.34040423308
